190053;The Winds of Chance;Rex Beach;May;2019;http://gutenberg.net.au/ebooks19/1900531h.html
190052;Rainbow's End;Rex Beach;May;2019;http://gutenberg.net.au/ebooks19/1900521h.html
190051;The Auction Block;Rex Beach;May;2019;http://gutenberg.net.au/ebooks19/1900511h.html
190050;The Craig Poisoning Mystery;A. Fielding;May;2019;http://gutenberg.net.au/ebooks19/1900501h.html
190049;Starlight Rider;Ernest Haycox;Apr;2019;http://gutenberg.net.au/ebooks19/1900491h.html
190048;The Clifford Affair;A. Fielding;Apr;2019;http://gutenberg.net.au/ebooks19/1900481h.html
190047;The Footsteps that Stopped;A. Fielding;Apr;2019;http://gutenberg.net.au/ebooks19/1900471h.html
190046;The Iron Trail;Rex Beach;Apr;2019;http://gutenberg.net.au/ebooks19/1900461h.html
190045;The Cluny Problem;A. Fielding;Apr;2019;http://gutenberg.net.au/ebooks19/1900451h.html
190044;The Eames-Erskine Case;A. Fielding;Apr;2019;http://gutenberg.net.au/ebooks19/1900441h.html
190043;The Vengeance of Durand;Rex Beach;Apr;2019;http://gutenberg.net.au/ebooks19/1900431h.html
190042;Jaragu and the Lost Islands;Rex Beach;Apr;2019;http://gutenberg.net.au/ebooks19/1900421h.html
190041;The Net;Rex Beach;Apr;2019;http://gutenberg.net.au/ebooks19/1900411h.html
190040;Settlers and Convicts;Alexander Harris;Apr;2019;http://gutenberg.net.au/ebooks19/1900401h.html
190039;The Ne'er-Do-Well;Rex Beach;Apr;2019;http://gutenberg.net.au/ebooks19/1900391h.html
190036;The Great Sioux Festival;Rex Beach;Mar;2019;http://gutenberg.net.au/ebooks19/1900361h.html
190035;Man in the Saddle;Ernest Haycox;Mar;2019;http://gutenberg.net.au/ebooks19/1900351h.html
190034;Flowing Gold;Rex Beach;Mar;2019;http://gutenberg.net.au/ebooks19/1900341h.html
190033;Woman in Ambush;Rex Beach;Mar;2019;http://gutenberg.net.au/ebooks19/1900331h.html
190032;Jaragu of the Jungle;Rex Beach;Mar;2019;http://gutenberg.net.au/ebooks19/1900321h.html
190031;The Barrier;Rex Beach;Mar;2019;http://gutenberg.net.au/ebooks19/1900311h.html
190030;Pardners;Rex Beach;Mar;2019;http://gutenberg.net.au/ebooks19/1900301h.html
190029;Infallibility;Anonymous;Mar;2019;http://gutenberg.net.au/ebooks19/1900291h.html
190027;The Silver Horde;Rex Beach;Mar;2019;http://gutenberg.net.au/ebooks19/1900271h.html
190026;Alder Gulch;Ernest Haycox;Mar;2019;http://gutenberg.net.au/ebooks19/1900261h.html
190025;Too Fat to Fight;Rex Beach;Feb;2019;http://gutenberg.net.au/ebooks19/1900251h.html
190024;Going Some;Rex Beach;Feb;2019;http://gutenberg.net.au/ebooks19/1900241h.html
190023;The King of No-Land;Benjamin Leopold Farjeon;Feb;2019;http://gutenberg.net.au/ebooks19/1900231h.html
190022;The Black Coat;John Galsworthy;Feb;2019;http://gutenberg.net.au/ebooks19/1900221h.html
190021;The Electric Gun;Harold Johnston;Feb;2019;http://gutenberg.net.au/ebooks19/1900211h.html
190020;The Noble Lord;Ben Ames Williams;Feb;2019;http://gutenberg.net.au/ebooks19/1900201h.html
190019;The Emu's Head;Carlton Dawe;Feb;2019;http://gutenberg.net.au/ebooks19/1900191h.html
190018;The Land of Wherisit;H. E. Boote;Feb;2019;http://gutenberg.net.au/ebooks19/1900181h.html
190016;The Looting of Alaska;Rex Beach;Jan;2019;http://gutenberg.net.au/ebooks19/1900161h.html
190015;The Sixth Thing;Ben Ames Williams;Jan;2019;http://gutenberg.net.au/ebooks19/1900151h.html
190014;The Alster Case;Rufus H Gillmore;Jan;2019;http://gutenberg.net.au/ebooks19/1900141h.html
190013;Trouble Shooter;Ernest Haycox;Jan;2019;http://gutenberg.net.au/ebooks19/1900131h.html
190012;The Ranch on the Beaver;Andy Adams;Jan;2019;http://gutenberg.net.au/ebooks19/1900121h.html
190011;The Spoilers;Rex Beach;Jan;2019;http://gutenberg.net.au/ebooks19/1900111h.html
190010;When I Lived in Bohemia;Fergus Hume;Jan;2019;http://gutenberg.net.au/ebooks19/1900101h.html
190009;What Doth It Profit;Ben Ames Williams;Jan;2019;http://gutenberg.net.au/ebooks19/1900091h.html
190008;My Only Murder;Ernest Favenc;Jan;2019;http://gutenberg.net.au/ebooks19/1900081h.html
190007;The Voyage of the Pulo Way;Carlton Dawe;Jan;2019;http://gutenberg.net.au/ebooks19/1900071h.html
190006;Across Papua;Kenneth Mackay;Jan;2019;http://gutenberg.net.au/ebooks19/1900061h.html
190005;A Voice from the Fog;Ben Ames Williams;Jan;2019;http://gutenberg.net.au/ebooks19/1900051h.html
190004;Riddles Read;Dick Donovan;Jan;2019;http://gutenberg.net.au/ebooks19/1900041h.html
190003;Found and Fettered;Dick Donovan;Jan;2019;http://gutenberg.net.au/ebooks19/1900031h.html
190002;Riders West;Ernest Haycox;Jan;2019;http://gutenberg.net.au/ebooks19/1900021h.html
